PersonName,BirthPlace,Description,WikipediaURL,WikiText,embedding_text,cluster,cluster_prob,x,y,cluster_label
Ярослав Мудрий,Київ,"український державний діяч часів Київської Русі, великий князь київський, родоначальник багатьох сучасних монархічних династій у Європі",https://uk.wikipedia.org/wiki/Ярослав_Мудрий,"ярослав мудрий український державний діяч часів київської русі, великий князь київський, родоначальник багатьох сучасних монархічних династій у європі яросла́в володи́мирович, відомий як ярослав мудрий (983 / 987 — 17/20 лютого 1054) — київський князь із династії рюриковичів. великий князь київський (1015—1018, 1019—1054). князь ростовський (988—1010) і новгородський (1010—1034). другий син київського князя володимира великого від полоцької князівни рогніди. 988 року, за наказом батька, став намісником...",Державний діяч часів Київської Русі великий князь родоначальник багатьох сучасних монархічних династій у Європі,37,0.8657841043415451,14.803871,11.974056,37
Євпраксія Всеволодівна,Київ,імператорка Священної Римської імперії,https://uk.wikipedia.org/wiki/Євпраксія_Всеволодівна,"євпраксія всеволодівна імператорка священної римської імперії євпра́ксія все́володівна (д.-рус. еоупраксиа; 1071 — 9 липня 1109) — князівна із династії рюриковичів. німецька імператриця (1088—1105), дружина німецького імператора генріха iv. донька великого князя київського всеволода ярославича, сина ярослава мудрого. сестра володимира мономаха. 1093 року втекла від чоловіка до італії, 1097 року — до угорщини,...",Імператорка Священної Римської імперії,34,0.7749899756441104,-6.8774295,11.725318,34
Петро,Волинь,Митрополит Київський і всієї Русі,https://uk.wikipedia.org/wiki/Петро_(митрополит_Київський),"петро митрополит київський і всієї русі петро́ ратенський, петро волинянин (1260? — 21 грудня 1326) — митрополит київський і всієї русі, святитель, чудотворець. переніс київську митрополичу катедру з владимира-на-клязьмі до москви.
у 1309 переїхав до владимира, у 1325 — до москви, через що російська агіографія іменує його першим митрополитом московським. канонізований в лику святителів і...",Митрополит Київський і всієї Русі,20,1.0,10.003933,20.798311,20
Діонісій,Київ,митрополит Київський і всієї Руси,https://uk.wikipedia.org/wiki/Діонісій_(митрополит_Київський),"діонісій митрополит київський і всієї руси святи́тель діоні́сій i (1300? — 15 жовтня 1385) — архієпископ суздальський, митрополит київський і всієї русі.",Митрополит Київський і всієї Руси,20,0.6290556128402065,10.294934,21.107475,20
Менґлі I Ґерай,Кримський півострів,"кримськотатарський державний, політичний і військовий діяч, кримський хан",https://uk.wikipedia.org/wiki/Менґлі_I_Ґерай,"менґлі i ґерай кримськотатарський державний, політичний і військовий діяч, кримський хан менґлі́ i, також менґлі ґірей (кримс. i meñli geray, ۱منكلى كراى; нар. 1445 — 1515) — кримськотатарський державний, політичний і військовий діяч. кримський хан (1466, 1469–1475, 1478–1515) з династії ґераїв. син хаджи i ґерая, засновника кримського ханства. 1478 року прийняв протекторат османської імперії, під яким ханство перебувало до кінця xviii...",Державний політичний і військовий діяч кримський хан,37,0.8526763375621308,15.466819,11.898627,37
Острозький Костянтин Іванович,Острог,"Військовий і державний діяч Великого Князівства Литовського, Руського та Жемайтійського",https://uk.wikipedia.org/wiki/Острозький_Костянтин_Іванович,"острозький костянтин іванович військовий і державний діяч великого князівства литовського, руського та жемайтійського костя́нтин іва́нович остро́зький (ст.-укр. константин острожский, лат. constantinus in ostrog; 1460, острог, волинь — 11 вересня 1530, турів) — військовий і державний діяч великого князівства литовського, руського і жемайтського із роду князів острозьких.
староста брацлавський (1497—1500), вінницький (1507—1516) та звенигородський (1518—1530), староста...",Військовий і державний діяч Великого Князівства Литовського Руського та Жемайтійського,37,0.8505793456363511,14.887014,12.474106,37
Русин Павло,Коросно,"український, польський поет і мислитель доби Відродження",https://uk.wikipedia.org/wiki/Павло_Русин_із_Кросна,"русин павло український, польський поет і мислитель доби відродження павло́ ру́син (лат. paulus ruthenus crosnensis, бл. 1470, кросно, сучасна польща — листопад 1517, старий сонч 1517, сянік чи новий сонч) — український й польський поет і мислитель доби відродження.
народився, правдоподібно, в одному з лемківських сіл поблизу коросна. ґрунтуючись на тому, що він писав латинською мовою, польські дослідники трактують його...",Поет і мислитель доби Відродження,31,1.0,1.7376945,9.4323435,31
Роксолана,Рутенія,султанка Османської імперії українського походження,https://uk.wikipedia.org/wiki/Роксолана,"роксолана султанка османської імперії українського походження хасекі гюррем-султан (лат. haseki hurrem sultan, осман. خرم حسکي سلطان, тур. hürrem haseki sultan), більш відома як роксолана (лат. roxolana, близько 1506— 15 квітня 1558, стамбул) — привілейована хатун, пізніше законна дружина сулеймана і пишного, султана османської імперії, меценатка та філантроп. перша хасекі-султан, засновниця епохи жіночого султанату...",Султанка Османської імперії українського походження,18,1.0,-2.2918308,13.672391,18
Петро Італієць,,італійський та український архітектор,https://uk.wikipedia.org/wiki/Петро_Італієць,"петро італієць італійський та український архітектор петро італієць — архітектор епохи ренесансу. родом з міста лугано, тепер у кантоні тічино. прийняв міське право (громадянство) львова. 1543 року вперше згадується в актах львівського магістрату. ім'я зустрічається в написанні petrus murator italus, також murator regius. мав тісні взаємини із львівським патриціатом. до документально підтверджених робіт...",Італійський та архітектор,24,1.0,-0.6725824,-3.932485,24
Михайло Вишневецький,,"український князь з роду Вишневецьких, військовий та державний діяч Великого князівства Литовського",https://uk.wikipedia.org/wiki/Михайло_Олександрович_Вишневецький,"михайло вишневецький український князь з роду вишневецьких, військовий та державний діяч великого князівства литовського миха́йло олекса́ндрович вишневе́цький (1529 — 15 /16 жовтня 1584) — руський князь з роду вишневецьких, військовий та державний діяч великого князівства литовського. староста черкаський (1559—1584), багаторазовий переможець кримських татар, гетьман війська запорозького реєстрового (1572—1574), сенатор речі посполитої. з нагоди його смерті була написана...",Князь з роду Вишневецьких військовий та державний діяч Великого князівства Литовського,37,0.7694967134835925,14.984573,12.940695,37
