"number","title","pageid","namespace","length","touched","Wikidata"
"1","1908","622","","11004","20250218120315","Q2056"
"2","1904","625","","22752","20250503110205","Q2046"
"3","1979","640","","19551","20240731073849","Q2484"
"4","1900","671","","16527","20250101111738","Q2034"
"5","1919","674","","12939","20240901173843","Q2157"
"6","1973","721","","11914","20250511104509","Q2477"
"7","1889","799","","12931","20241117071351","Q7831"
"8","1868","910","","13815","20241225104617","Q7717"
"9","1883","921","","12371","20250216000442","Q7816"
"10","1886","923","","11468","20241117085146","Q7822"
"11","1888","925","","14363","20250202171626","Q7829"
"12","1905","939","","22548","20250503105954","Q2047"
"13","1915","944","","8440","20240828170320","Q2084"
"14","1918","945","","21029","20241008091529","Q2094"
"15","1920","946","","11367","20231215071031","Q2155"
"16","1922","948","","12030","20250122153511","Q2165"
"17","1925","951","","11635","20240131145030","Q18107"
"18","1928","954","","12502","20250413190722","Q19715"
"19","1934","958","","14870","20241130201001","Q18714"
"20","1937","961","","12634","20250111071945","Q18647"
"21","1949","968","","18291","20241121135704","Q5188"
"22","1972","989","","15094","20250511104257","Q2476"
"23","1975","991","","16990","20250413191009","Q2479"
"24","1983","997","","19016","20250311133459","Q2434"
"25","1986","999","","18811","20250416120414","Q2430"
"26","9_березня","1060","","17727","20250405113621","Q2401"
"27","25_серпня","1070","","12871","20250514151212","Q2819"
"28","Білорусь","1080","","144315","20250419091633","Q184"
"29","5_серпня","1303","","14237","20250510215755","Q2783"
"30","6_серпня","1304","","20919","20250228204422","Q2787"
"31","8_серпня","1306","","20632","20250512084704","Q2780"
"32","9_серпня","1307","","17206","20250512084827","Q2782"
"33","11_серпня","1309","","14519","20250514150252","Q2778"
"34","12_серпня","1310","","18752","20250514150335","Q2777"
"35","17_серпня","1315","","16101","20250514150700","Q2827"
"36","22_серпня","1320","","11317","20250314151455","Q2828"
"37","24_серпня","1322","","12054","20250514151113","Q2825"
"38","30_серпня","1327","","16060","20250514152344","Q2818"
"39","1_вересня","1329","","14589","20250228201740","Q2859"
"40","2_вересня","1330","","20772","20250228202733","Q2857"
"41","4_вересня","1332","","19934","20250228204150","Q2855"
"42","7_вересня","1335","","13077","20250301211805","Q2852"
"43","14_вересня","1342","","16205","20250427093821","Q2847"
"44","23_вересня","1351","","18719","20250505013650","Q2888"
"45","25_вересня","1353","","15277","20250228202436","Q2886"
"46","26_вересня","1354","","19325","20250416121537","Q2885"
"47","29_вересня","1357","","21229","20250228202717","Q2882"
"48","1_жовтня","1359","","17707","20250228201743","Q2913"
"49","7_жовтня","1364","","18368","20250301211808","Q2926"
"50","9_жовтня","1366","","12443","20250301212151","Q2923"
"51","12_жовтня","1374","","13612","20250228200846","Q2920"
"52","14_жовтня","1376","","14875","20250228201509","Q2922"
"53","16_жовтня","1378","","17713","20250228201622","Q2963"
"54","17_жовтня","1379","","18505","20241016142418","Q2962"
"55","18_жовтня","1380","","20749","20250211063058","Q2964"
"56","21_жовтня","1383","","15033","20250327115437","Q2960"
"57","25_жовтня","1387","","14935","20250228202439","Q2954"
"58","26_жовтня","1388","","11700","20250228202631","Q2953"
"59","27_жовтня","1389","","11201","20250228202647","Q2956"
"60","29_жовтня","1391","","15104","20250228202720","Q2951"
"61","31_жовтня","1393","","15898","20250312142608","Q2949"
"62","1_листопада","1394","","15173","20250228201744","Q2997"
"63","4_листопада","1413","","14382","20250228204156","Q2994"
"64","6_листопада","1415","","13730","20250228204421","Q2992"
"65","10_листопада","1419","","20667","20250502200525","Q2988"
"66","11_листопада","1420","","18355","20250228200803","Q2987"
"67","12_листопада","1421","","14610","20250228200851","Q2986"
"68","17_листопада","1426","","21132","20250228201643","Q3028"
"69","18_листопада","1427","","15296","20250228201705","Q3027"
"70","23_листопада","1432","","13434","20250228202000","Q3021"
"71","29_листопада","1438","","18150","20250228202725","Q3016"
"72","3_грудня","1442","","22444","20250228203007","Q2298"
"73","8_грудня","1447","","23645","20250301211832","Q2301"
"74","9_грудня","1448","","18838","20250301212150","Q2304"
"75","14_грудня","1483","","20241","20250228201507","Q2382"
"76","15_грудня","1484","","20905","20250407225819","Q2383"
"77","16_грудня","1485","","17276","20250228201621","Q2410"
"78","17_грудня","1486","","27416","20250228201639","Q2413"
"79","18_грудня","1487","","18493","20250228201701","Q2438"
"80","20_грудня","1489","","18905","20250228201835","Q2455"
"81","23_грудня","1492","","14619","20250228201954","Q2676"
"82","26_грудня","1495","","17581","20250228202629","Q2761"
"83","31_грудня","1500","","14655","20250506172835","Q2912"
"84","4_січня","1504","","21290","20250228204159","Q2168"
"85","5_січня","1505","","18926","20250228204314","Q2202"
"86","13_січня","1512","","23782","20250228200916","Q2255"
"87","15_січня","1514","","19266","20250228201610","Q2260"
"88","18_січня","1517","","23081","20250228201708","Q2265"
"89","19_січня","1518","","19509","20250319072558","Q2266"
"90","22_січня","1521","","16986","20250416120945","Q2275"
"91","24_січня","1523","","18608","20250312142229","Q2278"
"92","29_січня","1528","","18686","20250228202728","Q2286"
"93","30_січня","1529","","25666","20250228202807","Q2287"
"94","Бандера_Степан_Андрійович","1535","","251949","20250521055618","Q157280"
"95","1_лютого","1537","","29496","20250131172106","Q2312"
"96","6_лютого","1542","","17291","20250304145631","Q2320"
"97","7_лютого","1543","","13957","20250216100811","Q2322"
"98","9_лютого","1545","","17723","20250208141034","Q2324"
"99","16_лютого","1552","","16550","20250218123108","Q2342"
"100","18_лютого","1554","","17218","20250217150037","Q2343"
"101","21_лютого","1557","","27388","20250221044059","Q2350"
"102","28_лютого","1564","","28338","20250301060437","Q2362"
"103","5_березня","1570","","16013","20250305122558","Q2392"
"104","13_березня","1574","","19650","20250405095756","Q2400"
"105","16_березня","1577","","19076","20250319185503","Q2417"
"106","17_березня","1578","","22975","20250508140234","Q2419"
"107","18_березня","1579","","22643","20250320194200","Q2422"
"108","21_березня","1582","","21691","20250324160028","Q2433"
"109","25_березня","1586","","23994","20250327185321","Q2454"
"110","28_березня","1589","","16173","20250329055106","Q2458"
"111","31_березня","1592","","38361","20250401105440","Q2461"
"112","1_квітня","1593","","18558","20250402174100","Q2510"
"113","2_квітня","1594","","17790","20250401135004","Q2511"
"114","3_квітня","1595","","20810","20250401111419","Q2509"
"115","4_квітня","1596","","18851","20250405162835","Q2508"
"116","5_квітня","1597","","22048","20250407203723","Q2507"
